Parcelamento
"30/60 DD acima de R$ 600,00"
"30/60/90 DD acima de R$ 900,00"
"30/60/90/120 DD acima de R$ 1.200,00"
Código,Orig.,Descrição,R$,Sit.,Larg.,Und.,G/ml,NCM,Catálogo,Acabamento
02446,Nac.,LINHO CHEZZ NATURAL,"404,63",,"3,00",MET,470,53092900,C 10,PRÉ ENCOLHIDO
02447,Imp.,GAZE PESADA,"61,09",,"3,00",MET,532,54079200,C 11 2026 GENTILE,
02449,Imp.,LINHO PESADO,"55,96",,"3,00",MET,537,55151200,C 09 2022,
02451,Imp.,GAZE BRILHO = 2816-03,"36,39",,"3,00",MET,474,54075210,C 09 2024,
02456,Imp.,VOIL LINHO,"44,42",,"3,00",MET,288,54079200,C 09 2022,
02462 - 006,Nac.,SHANTUNG LISO,"29,11",SC,"3,00",MET,500,54075210,C 10,
02463 - 004,Nac.,VAZADOS ARRASTÃO,"113,96",SC,"3,00",MET,400,54075210,C 09 2022,
02463 - 005,Nac.,VAZADOS ARRASTÃO,"113,96",SC,"3,00",MET,400,54075210,C 09 2022,
02465 - 003,Nac.,GAZE CUSCO,"80,81",SC,"2,90",MET,294,54079200,C 09 2022,
02465 - 005,Nac.,GAZE CUSCO,"80,81",SC,"2,90",MET,294,54079200,C 09 2022,
02467 - 002,Nac.,GAZE LIMA,"104,00",SC,"3,00",MET,294,54079200,C 10,
02467 - 004,Nac.,GAZE LIMA,"104,00",SC,"2,90",MET,294,54079200,C 10,
02468 - 002,Nac.,GAZE PUNO,"44,15",SC,"2,90",MET,400,54075210,C 10,
02468 - 003,Nac.,GAZE PUNO,"44,15",SC,"2,90",MET,400,54075210,C 10,
02468 - 004,Nac.,GAZE PUNO,"44,15",SC,"2,90",MET,400,54075210,C 10,
02468 - 005,Nac.,GAZE PUNO,"44,15",SC,"2,90",MET,400,54075210,C 10,
02469 - 001,Nac.,GAZE PARACAS,"43,66",SC,"3,00",MET,400,54079200,C 10,
02469 - 003,Nac.,GAZE PARACAS,"43,66",SC,"3,00",MET,400,54079200,C 10,
02471,Nac.,LINHO MISTO HANÓI,"55,81",,"3,00",MET,445,52093200,C 11 2026 GENTILE,
02475,Nac.,RUSTICO BERLIM,"67,41",,"3,00",MET,490,52113200,C 11 2026 GENTILE,
02485 - 004,Nac.,CORTINA LINHO MISTO CAMBOJA,"38,77",SC,"2,90",MET,407,53092900,C 10,
Código,Orig.,Descrição,R$,Sit.,Larg.,Und.,G/ml,NCM,Catálogo,Acabamento
02501,Nac.,PANAMA ANTUÉRPIA,"111,27",,"1,40",MET,485,52094900,T 24 CARE,
02502,Nac.,RUSTICO LIÈGE,"109,49",,"1,45",MET,502,52114290,T 24 CARE,
02505 - 005,Nac.,RUSTICO LIER,"87,33",SC,"1,40",MET,579,52094900,T 24 CARE,
02505 - 007,Nac.,RUSTICO LIER,"87,33",SC,"1,40",MET,579,52094900,T 24 CARE,
02506,Nac.,PIED POULE,"111,31",,"1,40",MET,278,52094900,T 24 CARE,
02507,Nac.,LISTADO COURTRAI,"111,31",,"1,40",MET,278,52122400,T 24 CARE,
02508,Nac.,LONITA WAVRE,"103,24",,"1,40",MET,278,52084200,T 24 CARE,
02509,Nac.,LONITA BINCHE,"111,31",,"1,40",MET,278,52084200,T 24 CARE,
02509 - 007,Nac.,LONITA BINCHE,"111,31",SC,"1,40",MET,278,52084200,T 24 CARE,
02510,Nac.,MINI PIED POULE,"114,35",,"1,40",MET,278,52084200,T 24 CARE,
02511,Nac.,XADREZ VERVIERS,"114,35",,"1,40",MET,278,52084200,T 24 CARE,
02518,Nac.,RUSTICO SERAING,"111,27",,"1,45",MET,502,52114290,T 24 CARE,
02519,Imp.,CHIFFON SONHO DE SEDA,"35,93",,"3,00",MET,196,54076100,C 11 2026 GENTILE,
02520 - 005,Imp.,CHARMUSE DUO,"31,64",SC,"3,00",MET,309,54075210,C 09 2021,
02520 - 006,Imp.,CHARMUSE DUO,"31,64",SC,"3,00",MET,309,54075210,C 09 2021,
02523 - 001,Nac.,GAZE ESTAMPADA PLATANO,"46,11",SC,"2,90",MET,440,54079400,C 10,
02527 - 002,Nac.,ARRASTÃO TAMISA,"46,11",SC,"1,40",MET,501,58109900,C 10,
02527 - 003,Nac.,ARRASTÃO TAMISA,"46,11",SC,"1,40",MET,501,58109900,C 10,
02528 - 004,Nac.,ARRASTÃO SAYURI,"48,07",SC,"1,40",MET,501,58109900,C 10,
02529 - 002,Nac.,JACQUARD MEDALHÃO COLEÇÃO BELGRADO,"229,03",SC,"1,40",MET,742,55162300,T 23 BELGRAD,
02529 - 003,Nac.,JACQUARD MEDALHÃO COLEÇÃO BELGRADO,"229,03",SC,"1,40",MET,742,55162300,T 23 BELGRAD,
02529 - 005,Nac.,JACQUARD MEDALHÃO COLEÇÃO BELGRADO,"229,03",SC,"1,40",MET,742,55162300,T 23 BELGRAD,
02529 - 006,Nac.,JACQUARD MEDALHÃO COLEÇÃO BELGRADO,"229,03",SC,"1,40",MET,742,55162300,T 23 BELGRAD,
02529 - 007,Nac.,JACQUARD VISCOSE MEDALHÃO COLEÇÃO BELGRADO,"266,85",SC,"1,40",MET,742,55162300,T 23 BELGRAD,
02530 - 002,Nac.,JACQUARD VITRAL COLEÇÃO BELGRADO,"229,03",SC,"1,40",MET,742,55162300,T 23 BELGRAD,
02530 - 003,Nac.,JACQUARD VITRAL COLEÇÃO BELGRADO,"229,03",SC,"1,40",MET,742,55162300,T 23 BELGRAD,
02530 - 004,Nac.,JACQUARD VITRAL COLEÇÃO BELGRADO,"229,03",SC,"1,40",MET,742,55162300,T 23 BELGRAD,
02530 - 005,Nac.,JACQUARD VITRAL COLEÇÃO BELGRADO,"229,03",SC,"1,40",MET,742,55162300,T 23 BELGRAD,
02530 - 007,Nac.,JACQUARD VITRAL COLEÇÃO BELGRADO,"229,03",SC,"1,40",MET,742,55162300,T 23 BELGRAD,
02531 - 002,Nac.,JACQUARD CHEVRON I COLEÇÃO BELGRADO,"229,03",SC,"1,40",MET,742,55162300,T 23 BELGRAD,
02531 - 003,Nac.,JACQUARD CHEVRON I COLEÇÃO BELGRADO,"229,03",SC,"1,40",MET,742,55162300,T 23 BELGRAD,
02531 - 004,Nac.,JACQUARD CHEVRON I COLEÇÃO BELGRADO,"229,03",SC,"1,40",MET,742,55162300,T 23 BELGRAD,
02531 - 005,Nac.,JACQUARD CHEVRON I COLEÇÃO BELGRADO,"229,03",SC,"1,40",MET,742,55162300,T 23 BELGRAD,
02531 - 006,Nac.,JACQUARD CHEVRON I COLEÇÃO BELGRADO,"229,03",SC,"1,40",MET,742,55162300,T 23 BELGRAD,
02532 - 002,Nac.,JACQUARD GEO COLEÇÃO BELGRADO,"229,03",SC,"1,40",MET,742,55162300,T 23 BELGRAD,
02532 - 003,Nac.,JACQUARD GEO COLEÇÃO BELGRADO,"229,03",SC,"1,40",MET,742,55162300,T 23 BELGRAD,
02532 - 004,Nac.,JACQUARD GEO COLEÇÃO BELGRADO,"229,03",SC,"1,40",MET,742,55162300,T 23 BELGRAD,
Código,Orig.,Descrição,R$,Sit.,Larg.,Und.,G/ml,NCM,Catálogo,Acabamento
02532 - 006,Nac.,JACQUARD GEO COLEÇÃO BELGRADO,"229,03",SC,"1,40",MET,742,55162300,T 23 BELGRAD,
02532 - 007,Nac.,JACQUARD GEO COLEÇÃO BELGRADO,"229,03",SC,"1,40",MET,742,55162300,T 23 BELGRAD,
02533 - 002,Nac.,VISCOSE LINHO COLEÇÃO BELGRADO,"150,65",SC,"1,40",MET,450,55164300,T 23 BELGRAD,
02533 - 003,Nac.,VISCOSE LINHO COLEÇÃO BELGRADO,"150,65",SC,"1,40",MET,450,55164300,T 23 BELGRAD,
02533 - 006,Nac.,VISCOSE LINHO COLEÇÃO BELGRADO,"150,65",SC,"1,40",MET,450,55164300,T 23 BELGRAD,
02533 - 007,Nac.,VISCOSE LINHO COLEÇÃO BELGRADO,"150,65",SC,"1,40",MET,450,55164300,T 23 BELGRAD,
02534 - 002,Nac.,JACQUARD CHEVRON COLEÇÃO BELGRADO,"201,58",SC,"1,40",MET,714,52122400,T 23 BELGRAD,
02534 - 003,Nac.,JACQUARD CHEVRON COLEÇÃO BELGRADO,"201,58",SC,"1,40",MET,714,52122400,T 23 BELGRAD,
02534 - 004,Nac.,JACQUARD CHEVRON COLEÇÃO BELGRADO,"201,58",SC,"1,40",MET,714,52122400,T 23 BELGRAD,
02534 - 005,Nac.,JACQUARD CHEVRON COLEÇÃO BELGRADO,"201,58",SC,"1,40",MET,714,52122400,T 23 BELGRAD,
02534 - 006,Nac.,JACQUARD CHEVRON COLEÇÃO BELGRADO,"201,58",SC,"1,40",MET,714,52122400,T 23 BELGRAD,
02534 - 007,Nac.,JACQUARD CHEVRON COLEÇÃO BELGRADO,"201,58",SC,"1,40",MET,714,52122400,T 23 BELGRAD,
02535 - 002,Nac.,JACQUARD COLEÇÃO BELGRADO,"201,58",SC,"1,40",MET,714,52122400,T 23 BELGRAD,
02535 - 003,Nac.,JACQUARD COLEÇÃO BELGRADO,"201,58",SC,"1,40",MET,714,52122400,T 23 BELGRAD,
02535 - 005,Nac.,JACQUARD COLEÇÃO BELGRADO,"201,58",SC,"1,40",MET,714,52122400,T 23 BELGRAD,
02535 - 006,Nac.,JACQUARD COLEÇÃO BELGRADO,"201,58",SC,"1,40",MET,714,52122400,T 23 BELGRAD,
02536 - 004,Nac.,CHELILLE  COLEÇÃO BELGRADO,"211,97",SC,"1,40",MET,662,54079300,T 23 BELGRAD,
02536 - 005,Nac.,CHELILLE  COLEÇÃO BELGRADO,"211,97",SC,"1,40",MET,662,54079300,T 23 BELGRAD,
02539,Imp.,KOURO STAR - 15 AREIA,"125,90",,"1,40",MET,500,59032000,T 32 SLIM,
02540 - 001,Nac.,LINHO VISCOSE COLEÇÃO BELGRADO,"125,04",SC,"1,40",MET,539,52114900,T 23 BELGRAD,
02541 - 001,Nac.,VELUDO FAUNA,"111,91",SC,"1,40",MET,412,60019200,E 11 COLEÇÃO SUIÇA,
02542 - 004,Nac.,VELUDO FLOWERS,"111,91",SC,"1,40",MET,412,60019200,E 11 COLEÇÃO SUIÇA,
02543 - 001,Nac.,VELUDO GENEBRA,"111,91",SC,"1,40",MET,412,60019200,E 11 COLEÇÃO SUIÇA,
02543 - 002,Nac.,VELUDO GENEBRA,"111,91",SC,"1,40",MET,412,60019200,E 11 COLEÇÃO SUIÇA,
02543 - 003,Nac.,VELUDO GENEBRA,"111,91",SC,"1,40",MET,412,60019200,E 11 COLEÇÃO SUIÇA,
02543 - 004,Nac.,VELUDO GENEBRA,"111,91",SC,"1,40",MET,412,60019200,E 11 COLEÇÃO SUIÇA,
02543 - 007,Nac.,VELUDO GENEBRA,"111,91",SC,"1,40",MET,412,60019200,E 11 COLEÇÃO SUIÇA,
02543 - 010,Nac.,VELUDO GENEBRA,"111,91",SC,"1,40",MET,412,60019200,E 11 COLEÇÃO SUIÇA,
02544 - 001,Nac.,VELUDO BERNA,"111,91",SC,"1,40",MET,412,60019200,E 11 COLEÇÃO SUIÇA,
02544 - 003,Nac.,VELUDO BERNA,"111,91",SC,"1,40",MET,412,60019200,E 11 COLEÇÃO SUIÇA,
02546 - 001,Nac.,VELUDO ZUGO,"111,91",SC,"1,40",MET,412,60019200,E 11 COLEÇÃO SUIÇA,
02547 - 001,Nac.,VELUDO APPENZELL,"111,91",SC,"1,40",MET,412,60019200,E 11 COLEÇÃO SUIÇA,
02547 - 002,Nac.,VELUDO APPENZELL,"111,91",SC,"1,40",MET,412,60019200,E 11 COLEÇÃO SUIÇA,
02548 - 002,Nac.,VELUDO BUCARA,"111,91",SC,"1,40",MET,412,60019200,E 11 COLEÇÃO SUIÇA,
02548 - 003,Nac.,VELUDO BUCARA,"111,91",SC,"1,40",MET,412,60019200,E 11 COLEÇÃO SUIÇA,
02549 - 001,Nac.,VELUDO LUGANO,"111,91",SC,"1,40",MET,412,60019200,E 11 COLEÇÃO SUIÇA,
02549 - 003,Nac.,VELUDO LUGANO,"111,91",SC,"1,40",MET,412,60019200,E 11 COLEÇÃO SUIÇA,
Código,Orig.,Descrição,R$,Sit.,Larg.,Und.,G/ml,NCM,Catálogo,Acabamento
02549 - 005,Nac.,VELUDO LUGANO,"111,91",SC,"1,40",MET,412,60019200,E 11 COLEÇÃO SUIÇA,
02550 - 002,Nac.,VELUDO MONTREUX,"111,91",SC,"1,40",MET,412,60019200,E 11 COLEÇÃO SUIÇA,
02551 - 001,Nac.,VELUDO LEYSIN,"100,25",SC,"1,40",MET,412,60019200,E 11 COLEÇÃO SUIÇA,
02551 - 002,Nac.,VELUDO LEYSIN,"100,25",SC,"1,40",MET,412,60019200,E 11 COLEÇÃO SUIÇA,
02551 - 003,Nac.,VELUDO LEYSIN,"100,25",SC,"1,40",MET,412,60019200,E 11 COLEÇÃO SUIÇA,
02552 - 001,Nac.,DAVOS,"59,85",SC,"1,40",MET,480,60019200,E 11 COLEÇÃO SUIÇA,
02552 - 003,Nac.,DAVOS,"59,85",SC,"1,40",MET,480,60019200,E 11 COLEÇÃO SUIÇA,
02552 - 004,Nac.,DAVOS,"59,85",SC,"1,40",MET,480,60019200,E 11 COLEÇÃO SUIÇA,
02553 - 001,Nac.,PANAMA AROSA,"59,85",SC,"1,40",MET,380,60019200,E 11 COLEÇÃO SUIÇA,
02553 - 002,Nac.,PANAMA AROSA,"59,85",SC,"1,40",MET,380,60019200,E 11 COLEÇÃO SUIÇA,
02554 - 001,Nac.,CROCHE ORLEAES,"204,30",SC,"1,40",MET,574,53091100,T 25 LA FRANCE,
02555,Nac.,BLACK OUT TERMICO 100% VEDAÇÃO,"126,19",,"2,80",MET,1000,59031000,C 09 2024,LAVAVEL
02556 - 002,Nac.,CROCHE GRENOBLE,"277,44",SC,"1,40",MET,785,53091100,T 25 LA FRANCE,
02556 - 003,Nac.,CROCHE GRENOBLE,"277,44",SC,"1,40",MET,785,53091100,T 25 LA FRANCE,
02556 - 004,Nac.,CROCHE GRENOBLE,"277,44",SC,"1,40",MET,785,53091100,T 25 LA FRANCE,
02556 - 006,Nac.,CROCHE GRENOBLE,"277,44",SC,"1,40",MET,785,53091100,T 25 LA FRANCE,
02557 - 001,Nac.,CROCHE CHANTILY,"318,50",SC,"1,40",MET,1200,53091100,T 25 LA FRANCE,
02558 - 002,Nac.,CROCHE DUNKIRK,"277,50",SC,"1,40",MET,994,53091100,T 25 LA FRANCE,
02559 - 002,Nac.,CROCHE LYON,"277,50",SC,"1,40",MET,686,53091100,T 25 LA FRANCE,
02560 - 003,Nac.,CROCHE DJION,"285,77",SC,"1,40",MET,1020,53091100,T 25 LA FRANCE,
02561 - 002,Nac.,CROCHE PROVENÇA,"277,50",SC,"1,40",MET,854,53091100,T 25 LA FRANCE,
02561 - 004,Nac.,CROCHE PROVENÇA,"277,50",SC,"1,40",MET,854,53091100,T 25 LA FRANCE,
02562 - 001,Nac.,CROCHE VERSALHES,"270,14",SC,"1,40",MET,840,53091100,T 25 LA FRANCE,
02562 - 002,Nac.,CROCHE VERSALHES,"270,14",SC,"1,40",MET,840,53091100,T 25 LA FRANCE,
02562 - 003,Nac.,CROCHE VERSALHES,"270,14",SC,"1,40",MET,840,53091100,T 25 LA FRANCE,
02562 - 004,Nac.,CROCHE VERSALHES,"270,14",SC,"1,40",MET,840,53091100,T 25 LA FRANCE,
02562 - 005,Nac.,CROCHE VERSALHES,"270,14",SC,"1,40",MET,840,53091100,T 25 LA FRANCE,
02562 - 007,Nac.,CROCHE VERSALHES,"270,14",SC,"1,40",MET,840,53091100,T 25 LA FRANCE,
02564 - 002,Nac.,CROCHE PARIS,"259,18",SC,"1,40",MET,1050,53091100,T 25 LA FRANCE,
02564 - 004,Nac.,CROCHE PARIS,"259,18",SC,"1,40",MET,1050,53091100,T 25 LA FRANCE,
02564 - 006,Nac.,CROCHE PARIS,"259,18",SC,"1,40",MET,1050,53091100,T 25 LA FRANCE,
02564 - 007,Nac.,CROCHE PARIS,"259,18",SC,"1,40",MET,1050,53091100,T 25 LA FRANCE,
02565,Nac.,CROCHE TOULOUSE,"240,70",,"1,40",MET,840,53091100,T 25 LA FRANCE,
02565 - 004,Nac.,CROCHE TOULOUSE,"240,70",SC,"1,40",MET,840,53091100,T 25 LA FRANCE,
02565 - 005,Nac.,CROCHE TOULOUSE,"240,70",SC,"1,40",MET,840,53091100,T 25 LA FRANCE,
02565 - 006,Nac.,CROCHE TOULOUSE,"240,70",SC,"1,40",MET,840,53091100,T 25 LA FRANCE,
02569 - 004,Nac.,ROPE,"29,92",SC,"1,40",MET,554,55169300,T 27 ALIVE,
Código,Orig.,Descrição,R$,Sit.,Larg.,Und.,G/ml,NCM,Catálogo,Acabamento
02587 - 001,Nac.,WHITE CHEVRON,"171,47",SC,"1,40",MET,341,54075300,E 12 IN N OUT,REPELENTE A LIQUIDOS
02588 - 001,Nac.,OCEAN,"163,59",SC,"1,40",MET,505,52081200,E 12 IN N OUT,REPELENTE A LIQUIDOS
02589 - 003,Nac.,DEEP WATTER,"125,80",SC,"1,40",MET,341,54075400,E 12 IN N OUT,REPELENTE A LIQUIDOS
02590 - 002,Nac.,CONECTED,"122,47",SC,"1,40",MET,341,54075400,E 12 IN N OUT,REPELENTE A LIQUIDOS
02590 - 003,Nac.,CONECTED,"122,47",SC,"1,40",MET,341,54075400,E 12 IN N OUT,REPELENTE A LIQUIDOS
02592 - 003,Nac.,SQUARE AND X,"122,47",SC,"1,40",MET,341,54075400,E 12 IN N OUT,REPELENTE A LIQUIDOS
02593 - 001,Nac.,OCEAN FLOWERS,"122,47",SC,"1,40",MET,341,54075400,E 12 IN N OUT,REPELENTE A LIQUIDOS
02595 - 001,Nac.,BLENDED CHEVRON,"176,15",SC,"1,40",MET,505,54075300,E 12 IN N OUT,REPELENTE A LIQUIDOS
02597 - 001,Nac.,SQUARE AND X,"158,60",SC,"1,40",MET,316,54075400,E 12 IN N OUT,REPELENTE A LIQUIDOS
02601 - 001,Nac.,SOFT RUSTIC,"139,15",SC,"1,40",MET,340,54075300,E 12 IN N OUT,REPELENTE A LIQUIDOS
02601 - 002,Nac.,SOFT RUSTIC,"139,15",SC,"1,40",MET,340,54075300,E 12 IN N OUT,REPELENTE A LIQUIDOS
02606 - 004,Nac.,GREEN STRAW,"150,27",SC,"1,40",MET,505,52081200,E 12 IN N OUT,REPELENTE A LIQUIDOS
02608,Imp.,SIENA / ALTAMURA - 002,"155,02",,"1,40",MET,390,55151200,T 28 EASY CLEAN,EASY CLEAN
02609,Imp.,NAPOLE / ASTI-25,"168,88",,"1,45",MET,478,54075300,T 28 EASY CLEAN,EASY CLEAN
02610,Imp.,BRUNELLO-02,"105,95",,"1,45",MET,493,54075210,T 28 EASY CLEAN,EASY CLEAN
02611,Imp.,TURIM / FASANO-121,"211,56",,"1,45",MET,565,54075300,T 28 EASY CLEAN,EASY CLEAN
02612,Imp.,LONDA - 100,"176,89",,"1,40",MET,532,54075100,T 28 EASY CLEAN,EASY CLEAN
02613,Imp.,FLORENÇA 025,"209,25",,"1,40",MET,374,58013300,T 28 EASY CLEAN,EASY CLEAN
02614,Imp.,ASSIS / LUZZI - 121,"166,53",,"1,40",MET,320,54075300,T 28 EASY CLEAN,EASY CLEAN
02615 - 003,Imp.,FORLI,"154,24",SC,"1,40",MET,319,60019200,T 28 EASY CLEAN,EASY CLEAN
02615 - 005,Imp.,FORLI,"154,24",SC,"1,40",MET,319,60019200,T 28 EASY CLEAN,EASY CLEAN
02615 - 006,Imp.,FORLI,"154,24",SC,"1,40",MET,319,60019200,T 28 EASY CLEAN,EASY CLEAN
02615 - 007,Imp.,FORLI,"154,24",SC,"1,40",MET,319,60019200,T 28 EASY CLEAN,EASY CLEAN
02616,Imp.,SUEDINE-121,"102,90",,"1,42",MET,400,54075210,T 37 EASY CLEAN III,EASY CLEAN
02617 - 002,Imp.,VENEZA /RIMINI - 025,"213,09",SC,"1,40",MET,370,58013300,T 28 EASY CLEAN,EASY CLEAN
02617 - 003,Imp.,VENEZA / RIMINI - 007,"213,09",SC,"1,40",MET,370,58013300,T 28 EASY CLEAN,EASY CLEAN
02617 - 004,Imp.,VENEZA / RIMINI - 031,"213,09",SC,"1,40",MET,370,58013300,T 28 EASY CLEAN,EASY CLEAN
02619 - 004,Imp.,BLACKOUT ILLUSION,"120,33",SC,"2,80",MET,1036,59070000,BLACK OUT 3 2020,LAVAVEL
02621,Imp.,BLACKOUT LINO,"100,11",,"2,80",MET,826,54075210,C 09 2024,LAVAVEL
02621 - 003,Imp.,BLACKOUT LINO SALVIA,"100,11",SC,"2,80",MET,826,54075210,C 09 2024,LAVAVEL
02622 - 005,Imp.,BLACKOUT LYS,"129,51",SC,"2,80",MET,1022,59070000,BLACK OUT 3 2020,LAVAVEL
02623 - 003,Imp.,BLACKOUT NATUR,"120,80",SC,"2,80",MET,924,59070000,BLACK OUT 3 2020,LAVAVEL
02627 - 001,Nac.,SARJA MEDITERRÂNEO,"78,38",,"1,60",MET,410,52093200,S 06,PELETIZADO
02627 - 002,Nac.,SARJA MEDITERRÂNEO,"73,24",,"1,60",MET,410,52093200,S 06,PELETIZADO
02627 - 003,Nac.,SARJA MEDITERRÂNEO,"78,38",,"1,60",MET,410,52091200,S 06,PELETIZADO
02627 - 005,Nac.,SARJA MEDITERRÂNEO,"78,38",,"1,60",MET,410,52093200,S 06,PELETIZADO
02627 - 011,Nac.,SARJA MEDITERRÂNEO,"78,38",,"1,60",MET,410,52093200,S 06,PELETIZADO
Código,Orig.,Descrição,R$,Sit.,Larg.,Und.,G/ml,NCM,Catálogo,Acabamento
02627 - 022,Nac.,SARJA MEDITERRÂNEO,"78,38",,"1,60",MET,410,52093200,S 06,PELETIZADO
02627 - 055,Nac.,SARJA MEDITERRÂNEO,"78,38",,"1,60",MET,410,52093200,S 06,PELETIZADO
02627 - 058,Nac.,SARJA MEDITERRÂNEO,"78,38",,"1,60",MET,410,52093200,S 06,PELETIZADO
02628 - 002,Imp.,VOILE CREPADO LISBOA,"40,99",SC,"3,00",MET,210,54076100,C 09 2024,
02628 - 007,Imp.,VOILE CREPADO LISBOA PRATA,"40,99",SC,"3,00",MET,210,54076100,C 09 2024,
02629 - 002,Imp.,VOIL CREPADO BRUXELAS,"30,38",SC,"3,00",MET,210,54076100,C 09 2024,
02629 - 003,Imp.,VOIL CREPADO BRUXELAS PALHA,"30,38",SC,"3,00",MET,210,54076100,C 09 2024,
02629 - 005,Imp.,VOIL CREPADO BRUXELAS PRATA,"30,38",SC,"3,00",MET,210,54076100,C 09 2024,
02629 - 006,Imp.,VOIL CREPADO BRUXELAS AVELA,"30,38",SC,"3,00",MET,210,54076100,C 09 2024,
02631 - 004,Imp.,GAZE PATAXÓ  PRATA,"26,78",SC,"3,00",MET,300,55151200,C 09 2022,
02632,Imp.,SARJA CHIEVO II,"80,35",,"1,46",MET,345,54075210,S 07,REPELENTE A LIQUIDOS
02633 - 008,Nac.,LOVINAC,"100,22",SC,"1,50",MET,297,52114100,T 30 ECO FLAT,ECOLOGICO
02634 - 008,Nac.,ASTECA,"148,35",SC,"1,50",MET,481,52114900,T 30 ECO FLAT,
02635,Nac.,ZEFIRO,"146,49",,"1,40",MET,714,54078300,T 30 ECO FLAT,ECOLOGICO
02636,Nac.,LISO ECO II,"65,40",,"1,40",MET,535,52114100,T 30 ECO FLAT,ECOLOGICO
02636 - 003,Nac.,LISO ECO II,"65,40",SC,"1,40",MET,535,52114100,T 30 ECO FLAT,ECOLOGICO
02636 - 004,Nac.,LISO ECO II,"65,40",SC,"1,40",MET,535,52114100,T 30 ECO FLAT,ECOLOGICO
02636 - 010,Nac.,LISO ECO II,"65,40",SC,"1,40",MET,535,52114100,T 30 ECO FLAT,ECOLOGICO
02636 - 011,Nac.,LISO ECO II,"65,40",SC,"1,40",MET,535,52114100,T 30 ECO FLAT,ECOLOGICO
02636 - 029,Nac.,LISO ECO II,"65,40",SC,"1,40",MET,535,52114100,T 30 ECO FLAT,ECOLOGICO
02637 - 004,Nac.,ZEFIRO 6,"110,43",SC,"1,40",MET,448,54079300,T 30 ECO FLAT,ECOLOGICO
02637 - 005,Nac.,ZEFIRO 6,"110,43",SC,"1,40",MET,448,54079300,T 30 ECO FLAT,ECOLOGICO
02640 - 003,Nac.,BOREA,"134,24",SC,"1,55",MET,512,58013600,T 30 ECO FLAT,ECOLOGICO
02640 - 006,Nac.,BOREA,"134,24",SC,"1,55",MET,512,58013600,T 30 ECO FLAT,ECOLOGICO
02640 - 009,Nac.,BOREA,"134,24",SC,"1,55",MET,512,58013600,T 30 ECO FLAT,ECOLOGICO
02640 - 010,Nac.,BOREA,"134,24",SC,"1,55",MET,512,58013600,T 30 ECO FLAT,ECOLOGICO
02640 - 011,Nac.,BOREA,"134,24",SC,"1,55",MET,512,58013600,T 30 ECO FLAT,ECOLOGICO
02640 - 020,Nac.,BOREA,"134,24",SC,"1,55",MET,512,58013600,T 30 ECO FLAT,ECOLOGICO
02640 - 021,Nac.,BOREA,"134,24",SC,"1,55",MET,512,58013600,T 30 ECO FLAT,ECOLOGICO
02641,Nac.,MITRA,"162,27",,"1,45",MET,776,52114900,T 30 ECO FLAT,ECOLOGICO
02642,Nac.,AUSTER,"152,11",,"1,45",MET,511,52114900,T 30 ECO FLAT,ECOLOGICO
02643,Nac.,MITRA 5,"140,25",,"1,45",MET,972,52114900,T 30 ECO FLAT,ECOLOGICO
02645 - 008,Imp.,MOSCOU,"78,95",SC,"1,40",MET,256,60019200,T 33 SOLUTION,REPELENTE A LIQUIDOS
02646 - 002,Imp.,ANCARA,"101,20",SC,"1,45",MET,310,54075300,T 33 SOLUTION,REPELENTE A LIQUIDOS
02646 - 003,Imp.,ANCARA,"101,20",SC,"1,45",MET,310,54075300,T 33 SOLUTION,REPELENTE A LIQUIDOS
02646 - 004,Imp.,ANCARA,"101,20",SC,"1,45",MET,310,54075300,T 33 SOLUTION,REPELENTE A LIQUIDOS
02646 - 005,Imp.,ANCARA,"101,20",SC,"1,45",MET,310,54075300,T 33 SOLUTION,REPELENTE A LIQUIDOS
Código,Orig.,Descrição,R$,Sit.,Larg.,Und.,G/ml,NCM,Catálogo,Acabamento
02647 - 002,Imp.,SANTIAGO,"67,36",SC,"1,45",MET,270,54075300,T 33 SOLUTION,REPELENTE A LIQUIDOS
02647 - 004,Imp.,SANTIAGO,"67,36",SC,"1,45",MET,270,54075300,T 33 SOLUTION,REPELENTE A LIQUIDOS
02647 - 006,Imp.,SANTIAGO,"67,36",SC,"1,45",MET,270,54075300,T 33 SOLUTION,REPELENTE A LIQUIDOS
02648 - 002,Imp.,CANCUN,"63,31",SC,"1,45",MET,270,54075300,T 33 SOLUTION,REPELENTE A LIQUIDOS
02648 - 003,Imp.,CANCUN,"63,31",SC,"1,45",MET,270,54075300,T 33 SOLUTION,REPELENTE A LIQUIDOS
02648 - 004,Imp.,CANCUN,"63,31",SC,"1,45",MET,270,54075300,T 33 SOLUTION,REPELENTE A LIQUIDOS
02648 - 005,Imp.,CANCUN,"63,31",SC,"1,45",MET,270,54075300,T 33 SOLUTION,REPELENTE A LIQUIDOS
02649,Imp.,PARIS,"89,15",,"1,40",MET,520,60019200,T 40 ATLAS,REPELENTE A LIQUIDOS
02649 - 003,Imp.,PARIS,"89,15",SC,"1,40",MET,370,60019200,T 33 SOLUTION,REPELENTE A LIQUIDOS
02650 - 002,Imp.,TOLEDO,"84,94",SC,"1,40",MET,506,60019200,T 33 SOLUTION,REPELENTE A LIQUIDOS
02650 - 003,Imp.,TOLEDO,"84,94",SC,"1,40",MET,506,60019200,T 33 SOLUTION,REPELENTE A LIQUIDOS
